"FAST School of Computing, NUCES, Islamabad",,,,,,,,,
"Allocation of Computing Theory Courses, Spring-2023",,,,,,,,,
S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator,,,
,CY-3001,Networks and Cyber Security-II (CY),3,CY-6T,Dr. Qaiser Shafi,Dr. Qaiser Shafi,,,
,CY-3002,Vulnerability Assessment & Reverse Engineering (CY),3,CY-6T,Mr. Jawad Hassan,Mr. Jawad Hassan,,,
,CS-4061,Ethical Hacking Concepts and Practices (CY),3,CY-6T,Mr. Mehmood ul Hassan,Mr. Mehmood ul Hassan,,,
BS Batch 2020 and Earlier Batches Repeat Course,,,,,,,,,
,CS-3005,Theory of Automata,3,CS-A,Ms. Tajwar Mehmood,Ms. Tajwar Mehmood,,,
,,,,CS-B,Ms. Tajwar Mehmood,,,,
,CS-3004,Software Design and Analysis (CS),3,CS-A,Mr. Majid Hussain,Mr. Majid Hussain,,,
,AI-3002,Machine Learning (BS-AI),3,AI-A,Dr. Uzair Iqbal,Dr. Uzair Iqbal,,,
BS Batch 2019,,,,,,,,,
,CS-4001,Professional Practices in IT (AI),3,AI-8J,Dr. Aftab Ahmed Maroof,Dr. Atif Mughees,,,
,,,,AI-8K,Dr. Atif Mughees,,,,
,CS-4085,MLOps (AI),3,AI-8J,Mr. Samiullah,Mr. Samiullah,,,
,,,,AI-8K,Mr. Samiullah,,,,
,CS-4082,Applied Evolutionary Computing (AI),3,AI-8J,Dr. Hasan Mujtaba,Dr. Hasan Mujtaba,,,
,,,,AI-8K,Dr. Hasan Mujtaba,,,,
,CS-4001,Professional Practices in IT (CY),3,CY-T,Ms. Humera Sabir,Ms. Humera Sabir,,,
,CY-3003,Information Assurance,3,CY-T,Mr. Abdullah Abid,Mr. Abdullah Abid,,,
,CY-4048,Security Operations and Administration,3,CY-T,Mr. M. Ahsan Shakeel,Mr. M. Ahsan Shakeel,,,
BS (CS/DS/CY) Batch 2019 and Earlier Batches ,,,,,,,,,
,CS-4055,Digital Image Processing,3,CS-8A,Dr. Akhtar Jamil,Dr. Akhtar Jamil,,,
,,,,CS-8B,Dr. Akhtar Jamil,,,,
,CS-4083,Distributed Data Engineering,3,CS-8A,Dr. Adnan Tariq,Dr. Adnan Tariq,,,
,CS-4084,Quantum Computing,3,CS-8A,Dr. Arbab ,Dr. Arbab ,,,
,CS-4038,Data Mining,3,CS-8A,Dr. Ahmad Raza Shahid,Dr. Ahmad Raza Shahid,,,
,CS-4061,Ethical Hacking Concepts and Practices,3,CS-8A,Mr. Khawaja Mansoor,Mr. Khawaja Mansoor,,,
,CS-4032,Web Programming,3,CS-A,Ms. Sidra Khalid,Ms. Sidra Khalid,,,
,,,,CS-B,Ms. Tajwar Mehmood,,,,
,CS-4105,Cloud Security,3,CS-8A,Mr. Muhammad Arslan Maqsood,Mr. Muhammad Arslan Maqsood,,,
,CS-4063,Natural Language Processing,3,CS-8A,Dr. Mehreen Alam,Dr. Mehreen Alam,,,
,CS-4044,Fundamentals of Software Project Management,3,CS-8A,Dr. Noreen Jamil,Dr. Noreen Jamil,,,
,,,,CS-8B,Mr. Khateeb Khan,,,,
,CS-4073,Database Administration,3,CS-8A,Dr. Ejaz Ahmed,Dr. Ejaz Ahmed,,,
,CY-4047,Applied Digital Forensics,3,CS-8A,Mr. Mehmood ul Hassan,Mr. Mehmood ul Hassan,,,
,CS-4075,Cloud Computing,3,CS-8A,Dr. Mudassar Aslam,Dr. Mudassar Aslam,,,
,,,,CS-8B,Dr. Mudassar Aslam,,,,
,CS-4085,MLOPs,3,CS-8A,Dr. Hammad Majeed,Dr. Hammad Majeed,,,
,,,,CS-8B,Mr. Shahbaz Hussain (VF),,,,
,CS-4067,DevOPs,3,CS-8A,Mr. Saim Safdar,Mr. Saim Safdar,,,
,,,,CS-8B,Mr. Saim Safdar,,,,
MS Elective Courses (All Programs),,,,,,,,,
,CS-5032,Parallel Processing,3,MCS-A,Dr. Muhammad Aleem,Dr. Muhammad Aleem,,,
,CS-5037,Data Visualization,3,MCS-A,Dr. Faisal Cheema,Dr. Faisal Cheema,,,
,CS-5129,Knowledge Engineering and Linked Data,3,MCS-A,Dr. Amna Basharat,Dr. Amna Basharat,,,
,CS-5061,Distributed Data Engineering Systems,3,MCS-A,Dr. Adnan Tariq,Dr. Adnan Tariq,,,
,SE-5006,Model Based Testing,3,MCS-A,Dr. Uzair Khan,Dr. Uzair Khan,,,
,SE-5004,Search-based Software Engineering,3,MCS-A,Dr. Atif Aftab Jillani,Dr. Atif Aftab Jillani,,,
,CS-5050,Advanced Database Administration,3,MCS-A,Dr. Ejaz Ahmed,Dr. Ejaz Ahmed,,,
,CN-5001,Advanced Digital Forensics,3,MCNS-A,Mr. Mehmood ul Hassan,Mr. Mehmood ul Hassan,,,
,CS-5053,Digital Image Processing,3,MCS-A,Dr. Muneeb Ullah,Dr. Muneeb Ullah,,,
,CS-5051,Malware Analysis and Detection,3,MCNS-A,Mr. Jawad Hassan,Mr. Jawad Hassan,,,
,CN-5002,Advanced Security Operations & Management,3,MCNS-A,Mr. M. Ahsan Shakeel,Mr. M. Ahsan Shakeel,,,
,DS-5006,Deep Learning,3,MCS-A,Dr. Adeel Mumtaz (visting),Dr. Adeel Mumtaz (visting),,,
MS (CS),,,,,,,,,
,CS-4002,Applied Programming,NC,MCS-A,M. Aadil ur Rehman,M. Aadil ur Rehman,,,
,CS-5001,Research Methodology,3,MCS-A,Dr. Hammad Majeed,Dr. Hammad Majeed,,,
,CS-5006,Theory of Programming Languages,3,MCS-A,Dr. Labiba Fahad,Dr. Labiba Fahad,,,
,CS-5091,MS Thesis - 1,3,MCS-A,MSRC,MSRC,,,
,CS-5092,MS Thesis - 2,3,MCS-A,MSRC,,,,
MS (CNS),,,,,,,,,
,CS-4002,Applied Programming,NC,MCNS-A,M. Adil ur Rehman,M. Adil ur Rehman,,,
,CS-5001,Research Methodology,3,MCNS-A,Dr. Hammad Majeed,Dr. Hammad Majeed,,,
,CY-5001,Networks and Cyber Security,3,MCNS-A,Dr. Muhammad Asim,Dr. Muhammad Asim,,,
,CN-5091,MS Thesis - 1,3,MCNS-A,MSRC,MSRC,,,
,CN-5092,MS Thesis - 2,3,MCNS-A,MSRC,,,,
MS (SE),,,,,,,,,
,SE-5001,Advanced Software Requirement Engineering,3,MSE-A,Dr. Behjat Zuhaira,Dr. Behjat Zuhaira,,,
,SE-5091,MS Thesis - 1,3,MSE-A,MSRC,MSRC,,,
,SE-5092,MS Thesis - 2,3,MSE-A,MSRC,,,,
MS (AI),,,,,,,,,
,CS-5001,Research Methodology,3,MAI-A,Dr. Hammad Majeed,Dr. Hammad Majeed,,,
,AI-5003,Advanced Machine Learning,3,MAI-A,Dr. Usman Habib,Dr. Usman Habib,,,
,AI-5091,MS Thesis - 1,3,MAI-A,MSRC,MSRC,,,
,AI-5092,MS Thesis - 2,3,MAI-A,MSRC,,,,
MS (DS),,,,,,,,,
,CS-5001,Research Methodology,3,MDS-A,Dr. Hammad Majeed,Dr. Hammad Majeed,,,
,DS-5003,Statistical and Mathematical Methods for DS,3,MDS-A,Dr. Muhammad Ali,Dr. Muhammad Ali,,,
,DS-5004,Machine Learning for Data Science,3,MDS-A,Dr. Usman Habib,Dr. Usman Habib,,,
,DS-5008,Big Data Analytics,3,MDS-A,Dr. Kifayat Ullah Khan,Dr. Kifayat Ullah Khan,,,
,DS-5006,Deep Learning ,3,MDS-A,Dr. Mohsin Bilal,Dr. Mohsin Bilal,,,
,DS-5007,Natural Language Processing ,3,MDS-A,Dr. Mehreen Alam,Dr. Mehreen Alam,,,
,DS-5091,MS Thesis - 1,3,MDS-A,MSRC,MSRC,,,
,DS-5092,MS Thesis - 2,3,MDS-A,MSRC,,,,
PhD,,,,,,,,,
,CS6021,Advanced Knowledge Engineering,3,PCS-3A,Dr. Amna Basharat,Dr. Amna Basharat,,,
,CS6010,Advanced Parallel Processing,3,PCS-3A,Dr. Muhammad Aleem,Dr. Muhammad Aleem,,,
,CS6035,Advanced Topics in Parallel and Distributed Systems,3,PCS-3A,Dr. Muhammad Aleem,Dr. Muhammad Aleem,,,
,CS6027,Applied Image Processing,3,PCS-3A,Dr. Akhtar Jamil,Dr. Akhtar Jamil,,,
,CS6026,Research Topics in Algorithms,3,PCS-3A,Dr. Shujaat Hussain Kausar,Dr. Shujaat Hussain Kausar,,,
,CS6039,Advanced Computer Vision,3,PCS-2A,Dr. Ahmad Raza Shahid,Dr. Ahmad Raza Shahid,,,
,CS6025,Advanced Machine Learning,3,PCS-2A,Dr. Usman Habib,Dr. Usman Habib,,,
,CS6002,Advanced Readings,3,PCS-2A,Dr. Kifayat Ullah Khan,Dr. Kifayat Ullah Khan,,,
,CS6029,Data Mining,3,PCS-2A,Dr. Kifayat Ullah Khan,Dr. Kifayat Ullah Khan,,,
,CS6018,Recent Advances in Deep Learning,3,PCS-2A,Dr. Kifayat Ullah Khan,Dr. Kifayat Ullah Khan,,,
